r01_food_brain,REACH,CEBL_ID
,REACH_001,CEBL_565
R01_094,REACH_002,CEBL_460
,REACH_003,CEBL_566
,REACH_004,CEBL_567
,REACH_005,CEBL_568
,REACH_006,CEBL_569
,REACH_007,CEBL_537
,REACH_008,CEBL_538
,REACH_009,CEBL_545
,REACH_010,CEBL_570
R01_137,REACH_012,CEBL_373
,REACH_013,CEBL_507
R01_131,REACH_014,CEBL_371
,REACH_015,CEBL_543
R01_120,REACH_016,CEBL_471
,REACH_017,CEBL_544
R01_132,REACH_018,CEBL_368
R01_103,REACH_019,CEBL_374
R01_114,REACH_020,CEBL_365
,REACH_021,CEBL_571
R01_118,REACH_022,CEBL_352
,REACH_023,CEBL_529
,REACH_025,CEBL_572
,REACH_026,CEBL_546
,REACH_027,CEBL_495
,REACH_028,CEBL_535
,REACH_029,CEBL_497
,REACH_030,CEBL_549
,REACH_032,CEBL_526
,REACH_033,CEBL_625
,REACH_035,CEBL_573
,REACH_036,CEBL_492
,REACH_037,CEBL_574
R01_126,REACH_040,CEBL_375
,REACH_041,CEBL_576
,REACH_042,CEBL_481
,REACH_043,CEBL_577
,REACH_045,CEBL_626
,REACH_046,CEBL_578
,REACH_047,CEBL_579
R01_127,REACH_048,CEBL_359
,REACH_049,CEBL_624
,REACH_053,CEBL_580
,REACH_054,CEBL_581
R01_133,REACH_055,CEBL_360
,REACH_058,CEBL_582
,REACH_059,CEBL_583
,REACH_060,CEBL_584
R01_110,REACH_061,CEBL_364
,REACH_062,CEBL_585
,REACH_063,CEBL_586
,REACH_064,CEBL_587
,REACH_067,CEBL_588
,REACH_068,CEBL_589
,REACH_069,CEBL_590
,REACH_070,CEBL_591
,REACH_071,CEBL_592
,REACH_072,CEBL_593
,REACH_074,CEBL_594
,REACH_075,CEBL_595
,REACH_076,CEBL_596
,REACH_077,CEBL_597
,REACH_078,CEBL_598
,REACH_079,CEBL_558
,REACH_082,CEBL_599
,REACH_083,CEBL_600
,REACH_084,CEBL_524
,REACH_085,CEBL_601
,REACH_086,CEBL_505
,REACH_087,CEBL_602
,REACH_091,CEBL_603
,REACH_092,CEBL_604
,REACH_093,CEBL_531
